Anno,Codice Istat provincia,Provincia,Codice Istat comune,Comune,Tasso mortalita' anagrafica,Tasso natalita' anagrafica,Tasso iscrizione anagrafica,Tasso cancellazione anagrafica
2014,18,PV,18136,SAN GIORGIO DI LOMELLINA,14.2,7.13,34.7,30.3
2014,18,PV,18137,SAN MARTINO SICCOMARIO,8.76,8.93,64,61.3
2014,18,PV,18138,SANNAZZARO DE' BURGONDI,11.7,4.7,32.9,29.6
2014,18,PV,18139,SANTA CRISTINA E BISSONE,10.3,7.42,40,47.5
2014,18,PV,18140,SANTA GIULETTA,13.8,7.21,38.4,33
2014,18,PV,18141,SANT'ALESSIO CON VIALONE,1.06,10.6,49.8,40.3
2014,18,PV,18142,SANTA MARGHERITA DI STAFFORA,24.9,4.16,27,37.4
2014,18,PV,18143,SANTA MARIA DELLA VERSA,14.2,7.72,27.6,33.7
2014,18,PV,18144,SANT'ANGELO LOMELLINA,9.68,9.68,31.4,46
2014,18,PV,18145,SAN ZENONE AL PO,24.7,6.6,66,67.6
2014,18,PV,18146,SARTIRANA LOMELLINA,21.8,4.73,31.3,44.9
2014,18,PV,18147,SCALDASOLE,8.29,5.18,25.9,35.2
2014,18,PV,18148,SEMIANA,16.9,4.23,29.6,50.8
2014,18,PV,18149,SILVANO PIETRA,16.2,4.44,44.4,41.4
2014,18,PV,18150,SIZIANO,8.77,8.26,32.2,28
2014,18,PV,18151,SOMMO,8.78,7.02,39.5,31.6
2014,18,PV,18152,SPESSA,13,11.4,89.7,76.7
2014,18,PV,18153,STRADELLA,11.9,8.58,41.5,36.6
2014,18,PV,18154,SUARDI,12.7,3.19,35.1,46.3
2010,12,VA,12001,AGRA,9.79,12.2,44,48.9
2010,12,VA,12002,ALBIZZATE,10.3,8.8,51.8,33
2010,12,VA,12003,ANGERA,10.5,7.39,47.8,39.9
2010,12,VA,12004,ARCISATE,8.93,10.4,39.5,35.2
2010,12,VA,12005,ARSAGO SEPRIO,6.98,7.39,41,34.3
2010,12,VA,12006,AZZATE,8.23,11.1,52.7,45.1
2010,12,VA,12007,AZZIO,7.43,11.1,32.1,35.8
2010,12,VA,12008,BARASSO,12.5,4,53.1,42.3
2010,12,VA,12009,BARDELLO,9.04,10.3,49.6,38.7
2010,12,VA,12010,BEDERO VALCUVIA,12.5,7.82,48.4,32.8
2010,12,VA,12011,BESANO,10.1,9.33,55.6,38.4
2010,12,VA,12012,BESNATE,9.99,9.43,36.8,24.7
2010,12,VA,12013,BESOZZO,8.96,7.76,43,33.7
2010,12,VA,12014,BIANDRONNO,11,11,43.1,37
2010,12,VA,12015,BISUSCHIO,7.04,9.62,48.1,35.4
2010,12,VA,12016,BODIO LOMNAGO,12.3,9.97,52.6,40.8
2010,12,VA,12017,BREBBIA,6.85,6.85,50,47.3
2010,12,VA,12018,BREGANO,3.67,14.7,96.7,45.3
2010,12,VA,12019,BRENTA,10,10,57.4,36.8
2010,12,VA,12020,BREZZO DI BEDERO,12.7,14.4,52.8,34.9
2010,12,VA,12021,BRINZIO,4.54,4.54,32.9,34
2010,12,VA,12022,BRISSAGO-VALTRAVAGLIA,8.04,12,53.8,44.1
2010,12,VA,12023,BRUNELLO,4.78,6.69,27.7,39.2
2010,12,VA,12024,BRUSIMPIANO,8.65,9.52,79.6,50.1
2010,12,VA,12025,BUGUGGIATE,12.7,7.34,42.1,43.4
2010,12,VA,12026,BUSTO ARSIZIO,10,9.41,24.5,23.4
2010,12,VA,12027,CADEGLIANO-VICONAGO,23.6,9.14,82.8,57
2010,12,VA,12028,CADREZZATE,9.57,10.7,46.1,44.4
2010,12,VA,12029,CAIRATE,6.74,9.54,35.4,31.8
2010,12,VA,12030,CANTELLO,12.4,9.36,45.9,41.1
2010,12,VA,12031,CARAVATE,8.34,9.86,29.2,34.1
2010,12,VA,12032,CARDANO AL CAMPO,6.7,11.9,42,36.9
2010,12,VA,12033,CARNAGO,5.92,10.4,38.4,28.5
2010,12,VA,12034,CARONNO PERTUSELLA,7.34,13.3,64.7,30.6
2010,12,VA,12035,CARONNO VARESINO,8.91,11.3,36,37.2
2010,12,VA,12036,CASALE LITTA,4.88,6.76,36.4,29.3
2010,12,VA,12037,CASALZUIGNO,11.7,10.2,45.3,54.1
2010,12,VA,12038,CASCIAGO,7.68,5.12,38.4,30.4
2010,12,VA,12039,CASORATE SEMPIONE,9.41,11.5,35.3,34.5
2010,12,VA,12040,CASSANO MAGNAGO,8.47,8.93,33.3,24.1
2010,12,VA,12041,CASSANO VALCUVIA,10.5,4.51,21,21
2010,12,VA,12042,CASTELLANZA,9.66,7.23,39.6,35.4
2010,12,VA,12043,CASTELLO CABIAGLIO,7.33,5.49,42.1,32.9
2010,12,VA,12044,CASTELSEPRIO,8.53,6.2,32.5,20.9
2010,12,VA,12045,CASTELVECCANA,10.2,10.2,31.3,42.5
2010,12,VA,12046,CASTIGLIONE OLONA,8.12,9.9,37.5,32.6
2010,12,VA,12047,CASTRONNO,7.29,11.7,36.4,37
2010,13,CO,13070,CIVENNA,15.3,11.1,57.1,45.9
2010,12,VA,12048,CAVARIA CON PREMEZZO,6.72,13,52.7,35.5
2010,12,VA,12049,CAZZAGO BRABBIA,7.29,12.1,44.9,58.2
2010,12,VA,12050,CISLAGO,7.9,9.9,41.5,30.1
2010,12,VA,12051,CITTIGLIO,12,8.27,51.4,35.8
2010,12,VA,12052,CLIVIO,4.61,6.65,27.6,39.4
2010,12,VA,12053,COCQUIO-TREVISAGO,9.83,7.95,51.6,36.3
2010,12,VA,12054,COMABBIO,5.97,12.7,41.7,35.7
2010,12,VA,12055,COMERIO,9.79,9.04,61.3,51.2
2010,12,VA,12056,CREMENAGA,8.7,9.94,59.6,69.6
2010,12,VA,12057,CROSIO DELLA VALLE,13.2,19.8,56.2,19.8
2010,12,VA,12058,CUASSO AL MONTE,9.77,10.6,54.4,49.4
2010,12,VA,12059,CUGLIATE-FABIASCO,10.3,9.69,51.3,41.6
2010,12,VA,12060,CUNARDO,8.93,11.6,59,43.2
2010,12,VA,12061,CURIGLIA CON MONTEVIASCO,5.25,0,5.25,15.7
2010,12,VA,12062,CUVEGLIO,8.14,12.5,44.4,46.5
